,explain_path,photo_path,name,design,built_year,re_year,build_type,loc,area,ground_floor,underground_floor,wall,roof,window,windowframe,airtight,windowcontrol,awning,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_cost,re_energy
0,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_1.png,img/rec_fig/1.png,충북 보은군 장애인회관,1,2002 ,2014,8,4,1565,4 ,0 ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,176526140 ,0.10 
1,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_2.png,img/rec_fig/2.png,경북 성주군청사,1,1995 ,2005,11,11,9179.64,6 ,1 ,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2360000000 ,0.77 
2,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_3.png,img/rec_fig/3.png,강원 양구군청사,1,1984 ,2017,11,16,3533,3 ,0 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,253417752 ,0.18 
3,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_4.png,img/rec_fig/4.png,전남 영암군 군서면사무소,1,1991 ,2013,11,9,762.9,2 ,0 ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28800000 ,0.46 
4,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_5.png,img/rec_fig/5.png,전남 영암군 미암면사무소,1,1988 ,2005,11,9,566,2 ,0 ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220000000 ,0.41 
5,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_6.png,img/rec_fig/6.png,한국 폴리텍대학 창원캠퍼스,2,1981 ,2019,7,12,3104,2 ,1 ,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,990000000 ,0.74 
6,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_7.png,img/rec_fig/7.png,대전광역시청사,2,1999 ,2013,11,13,87742,2 ,2 ,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2759000000 ,0.22 
7,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_8.png,img/rec_fig/8.png,세종시청 조치원청사 C동,2,1988 ,2012,11,7,1647,3 ,1 ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,302359500 ,0.21 
8,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_9.png,img/rec_fig/9.png,헌법재판소,1,1993 ,2011,11,1,19270,5 ,1 ,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11027000000 ,0.68 
9,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_10.png,img/rec_fig/10.png,부산연제경찰서,1,1991 ,2017,11,14,7357,4 ,1 ,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1601000000 ,0.39 
10,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_11.png,img/rec_fig/11.png,제주도 서귀포시 평생학습관,1,1998 ,2017,11,17,1016,2 ,1 ,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,549000000 ,0.28 
11,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_12.png,img/rec_fig/12.png,강릉 장애인직업재활시설 사랑의 일터,1,2003 ,2017,8,16,630,2 ,1 ,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,487000000 ,0.38 
12,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_13.png,img/rec_fig/13.png,정보통신기술진흥센터 청사,1,1995 ,2017,11,6,19354,6 ,1 ,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3288000000 ,0.60 
13,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_14.png,img/rec_fig/14.png,전남 보성군 복내면사무소,1,1989 ,2017,11,10,495,2 ,1 ,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,586000000 ,0.62 
14,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_15.png,img/rec_fig/15.png,경기도 부천시 춘의동사무소,1,1985 ,2017,11,2,731,3 ,1 ,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,321000000 ,0.59 
15,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_16.png,img/rec_fig/16.png,한국연구재단 대전청사 본관,1,1990 ,2017,11,6,5443,4 ,1 ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3954000000 ,0.50 
16,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_17.png,img/rec_fig/17.png,한국교통대학교 화학생명관,1,1985 ,2017,7,4,7367,4 ,1 ,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2947000000 ,0.74 
17,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_18.png,img/rec_fig/18.png,강릉 입암3아파트 사회복지관,1,1994 ,2017,11,16,1615.01,2 ,1 ,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,409000000 ,0.39 
18,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_19.png,img/rec_fig/19.png,경기도 시흥시 ABC 행복학습타운,1,1988 ,2017,7,2,17784,3 ,1 ,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1303000000 ,0.56 
19,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_20.png,img/rec_fig/20.png,대구 달서구청,1,1992 ,2017,11,13,17898,8 ,1 ,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2720000000 ,0.27 
20,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_21.png,img/rec_fig/21.png,충청북도 자치연수원 공무원교육관,1,1996 ,2017,11,4,9591,3 ,1 ,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2168000000 ,0.68 
21,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_22.png,img/rec_fig/22.png,충주 성내동우체국,1,1977 ,2017,11,4,2863,3 ,1 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1927000000 ,0.71 
22,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_23.png,img/rec_fig/23.png,구) 남원역사,1,1986 ,2017,11,8,761,1 ,0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000000 ,0.58 
23,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_24.png,img/rec_fig/24.png,전남 광양시 의회청사,1,1993 ,2018,11,9,6895,5 ,1 ,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1396000000 ,0.69 
24,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_25.png,img/rec_fig/25.png,충북 음성군청 본청사,1,1995 ,2018,11,4,8684,6 ,1 ,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,4319000000 ,0.60 
25,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_26.png,img/rec_fig/26.png,진주 평거2주공아파트,1,1991 ,2018,2,12,22036,6 ,1 ,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3172000000 ,0.48 
26,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_27.png,img/rec_fig/27.png,충북 중앙경찰학교 1강의동,1,1987 ,2018,7,4,8732,4 ,1 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,4892000000 ,0.28 
27,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_28.png,img/rec_fig/28.png,과천시민회관,1,1995 ,2018,11,2,41056,4 ,3 ,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1167000000 ,0.51 
28,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_29.png,img/rec_fig/29.png,경북 구미시청 본관,1,1979 ,2018,11,11,8360,5 ,1 ,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,6074000000 ,0.44 
29,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_30.png,img/rec_fig/30.png,부산 금정구청,1,1991 ,2018,11,14,14464,8 ,2 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,6891000000 ,0.61 
30,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_31.png,img/rec_fig/31.png,경남 하동군청사,1,1992 ,2018,11,12,5330,3 ,1 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,144100000 ,0.50 
31,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_32.png,img/rec_fig/32.png,하남시 신장도서관,1,1996 ,2018,3,2,2145,3 ,1 ,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2233000000 ,0.90 
32,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_33.png,img/rec_fig/33.png,부산 중구청,1,1988 ,2018,11,14,7860,8 ,2 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,4855000000 ,0.46 
33,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_34.png,img/rec_fig/34.png,대구 시립중앙도서관,1,1985 ,2018,7,13,10181,4 ,1 ,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3533000000 ,0.51 
34,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_35.png,img/rec_fig/35.png,충남 청양 우체국,1,1991 ,2018,11,5,1569,2 ,1 ,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,694000000 ,0.63 
35,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_36.png,img/rec_fig/36.png,국립농산물품질관리원 경남지원,1,1988 ,2018,11,12,1697,5 ,1 ,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,698000000 ,0.57 
36,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_37.png,img/rec_fig/37.png,한국철도공사 동대구역사,1,1971 ,2018,11,13,31965,5 ,1 ,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,17458000000 ,0.81 
37,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_38.png,img/rec_fig/38.png,전남 장성군 북일면 행정복지센터,1,1989 ,2018,11,9,722,2 ,1 ,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,447000000 ,0.72 
38,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_39.png,img/rec_fig/39.png,강원대학교 농업생명과학대학 1호관,1,1978 ,2018,7,16,4222,4 ,1 ,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2033000000 ,0.87 
39,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_40.png,img/rec_fig/40.png,서울 서초구 서운중학교,1,1984 ,2018,7,1,8662,4 ,1 ,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3057000000 ,0.52 
40,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_41.png,img/rec_fig/41.png,서울대학교 공학관2(31동),1,1979 ,2018,7,1,6987,4 ,1 ,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1776000000 ,0.46 
41,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_42.png,img/rec_fig/42.png,한국철도공사서울사옥,1,1979 ,2018,11,1,23272.28,8 ,2 ,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4646000000 ,0.39 
42,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_43.png,img/rec_fig/43.png,부산 범일2동 주민센터,1,1989 ,2016,11,14,400.26,2 ,1 ,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,380000000 ,0.80 
43,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_44.png,img/rec_fig/44.png,대구 침산1동 주민센터,1,1992 ,2017,11,13,551.48,2 ,1 ,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,345000000 ,0.65 
44,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_45.png,img/rec_fig/45.png,한국 환경산업 기술원 연수동,1,1977 ,2014,11,1,3514,4 ,1 ,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4795000 ,0.67 
45,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_46.png,img/rec_fig/46.png,인천 의료원 장례식장,1,1997 ,2016,15,3,3469,4 ,1 ,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,,0.39 
46,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_47.png,img/rec_fig/47.png,춘천 교도소,1,1981 ,2014,16,16,112554,2 ,1 ,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,770960 ,0.59 
47,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_48.png,img/rec_fig/48.png,목포 대학교 사회 과학관,1,1982 ,2014,7,9,13605,4 ,1 ,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2740000 ,0.41 
48,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_49.png,img/rec_fig/49.png,정읍시 연지청사,1,1990 ,2014,11,8,1739,4 ,1 ,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1641828 ,0.29 
49,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_50.png,img/rec_fig/50.png,거창 여자고등학교,1,1972 ,2014,7,12,9487,3 ,1 ,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,0.36 
50,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_51.png,img/rec_fig/51.png,통영시청 제2청사,1,1989 ,2020,11,12,5684.6,5 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.24 
51,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_52.png,img/rec_fig/52.png,영천시청 본관,1,1989 ,2020,11,11,5495.5,3 ,0 ,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0.13 
52,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_53.png,img/rec_fig/53.png,경찰청사 남관,1,1989 ,2020,11,1,3571,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.36 
53,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_54.png,img/rec_fig/54.png,서울도봉경찰서,1,1989 ,2020,11,1,9099.9,4 ,1 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.24 
54,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_55.png,img/rec_fig/55.png,전라북도 농업기술원,1,1989 ,2020,7,8,14413.5,3 ,0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.28 
55,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_56.png,img/rec_fig/56.png,통영시 수산과학관,1,1989 ,2020,7,12,3587,2 ,1 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.24 
56,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_57.png,img/rec_fig/57.png,목포자연사박물관 자연사관동,1,1989 ,2020,7,9,6610.9,4 ,1 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.22 
57,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_58.png,img/rec_fig/58.png,동학농민혁명기념관(전시관동),1,1989 ,2020,3,8,3945.7,4 ,1 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.23 
58,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_59.png,img/rec_fig/59.png,서울대학교 052(예술관(미대)3),1,1989 ,2020,7,1,4383.7,4 ,1 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.48 
59,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_60.png,img/rec_fig/60.png,서울대학교 021(약학관1),1,1989 ,2020,7,1,6575.5,4 ,1 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.42 
60,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_61.png,img/rec_fig/61.png,충남대학교 실내체육관,1,1989 ,2020,7,6,3682,4 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.21 
61,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_62.png,img/rec_fig/62.png,충남대학교 중앙도서관,1,1989 ,2020,7,6,21618,4 ,1 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.36 
62,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_63.png,img/rec_fig/63.png,수정청소년수련관,1,1989 ,2020,9,2,7746.4,4 ,1 ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.34 
63,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_64.png,img/rec_fig/64.png,동작구문화복지센터(보건소),1,1989 ,2020,6,1,10022,4 ,1 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.10 
64,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_65.png,img/rec_fig/65.png,단양 수련시설,2,1994 ,2015 ,9,4,8220.18,6 ,1 ,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3823000000 ,0.31 
65,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_66.png,img/rec_fig/66.png,여수 하희현가 그린리모델링,2,1998 ,2017 ,1,9,18184,3 ,0 ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.38 
66,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_67.png,img/rec_fig/67.png,외유내강,2,1969 ,2017 ,1,14,204.82,2 ,1 ,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.35 
67,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_68.png,img/rec_fig/68.png,부평 단독주택,2,1984 ,2016 ,1,3,146.13,2 ,1 ,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,89680000 ,0.65 
68,https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_69.png,img/rec_fig/69.png,경기도 수원시 권선구 단독주택 2층,2,1987 ,2016 ,1,2,209.43,2 ,1 ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7300000 ,0.33 
