,pic,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
0,img/rec_fig/1.png,충북 보은군 장애인회관,4,8,1565,0.104,0.595,0.26,2.77,0.58,4.195,0.15,0.595,0.42,37.58,5,0.44,0.565
1,img/rec_fig/2.png,경북 성주군청사,11,11,9179.64,0.765271699,0.581,0.32,3.289,0.31,0.18,0.18,4,1.623,37.58,0.19,2.61,0.595
2,img/rec_fig/3.png,강원 양구군청사,16,11,3533,0.179,0.9,0.239,2.634,2.634,0.679,0.126,2.8,1.5,10.48,5,0.563,0.474
3,img/rec_fig/4.png,전남 영암군 군서면사무소,9,11,762.9,0.463630184,0.463,0.208,1.312,0.35,1.868,0.172,4,1.811,37.58,5,2.61,0.595
4,img/rec_fig/5.png,전남 영암군 미암면사무소,9,11,566,0.405686992,0.462,0.208,1.312,0.35,2.033,0.185,4,1.811,37.58,5,2.61,0.595
5,img/rec_fig/6.png,한국 폴리텍대학 창원캠퍼스,12,7,3104,0.738033635,1.045,0.278,1.312,0.35,2.033,0.185,3.6,1.3,37.58,5,2.61,0.595
6,img/rec_fig/7.png,대전광역시청사,13,11,87742,0.22,3.7,1.8,0.365,0.25,0.611,0.18,2.9,0.42,37.58,5,0.42,0.42
7,img/rec_fig/8.png,세종시청 조치원청사 C동,7,11,1647,0.2124,0.619,0.309,0.639,0.639,0.706,0.145,5.3,1.8,37.58,5,0.82,0.56
8,img/rec_fig/9.png,헌법재판소,1,11,19270,0.68,0.643,0.26,1.312,0.29,1.037,0.15,4,1.5,13.72,5,2.61,0.595
9,img/rec_fig/10.png,부산연제경찰서,14,11,7357,0.387,2.68,0.32,1.312,0.35,1.037,0.18,3.596,1.8,25.81,5,2.61,0.595
10,img/rec_fig/11.png,제주도 서귀포시 평생학습관,17,11,1016,0.279,0.56,0.32,1.312,0.47,1.037,0.25,3.596,2.2,14.23,5,2.61,0.595
11,img/rec_fig/12.png,강릉 장애인직업재활시설 사랑의 일터,16,8,630,0.384,0.54,0.32,1.312,0.24,1.037,0.15,3.596,1.5,44.04,5,2.61,0.595
12,img/rec_fig/13.png,정보통신기술진흥센터 청사,6,11,19354,0.598378926,3.264,0.26,1.312,0.29,1.037,0.15,2.9,1.5,22.4,5,22.4,5
13,img/rec_fig/14.png,전남 보성군 복내면사무소,10,11,495,0.62477758,0.56,0.232,1.312,0.35,1.037,0.169,1.43,1.8,37.58,5,2.61,0.583
14,img/rec_fig/15.png,경기도 부천시 춘의동사무소,2,11,731,0.592515593,1.18,0.26,1.312,0.29,1.037,0.15,3.6,1.5,16.34,5,2.61,0.595
15,img/rec_fig/16.png,한국연구재단 대전청사 본관,6,11,5443,0.4976,1.968,0.125,1.312,0.29,1.968,0.18,1.968,0.973,11.9,11.9,2.61,0.127
16,img/rec_fig/17.png,한국교통대학교 화학생명관,4,7,7367,0.739347122,0.348,0.26,1.312,0.29,1.037,0.15,4,1.5,15.8,5,2.61,0.595
17,img/rec_fig/18.png,강릉 입암3아파트 사회복지관,16,11,1615.01,0.388,3.42,0.32,1.312,0.24,1.037,0.15,3.596,1.5,14.87,5,2.61,0.595
18,img/rec_fig/19.png,경기도 시흥시 ABC 행복학습타운,2,7,17784,0.561561562,0.356,0.24,1.312,0.29,1.037,0.15,3.5,1.5,26.16,5,2.61,0.595
19,img/rec_fig/20.png,대구 달서구청,13,11,17898,0.268,0.39,0.32,1.312,0.35,1.037,0.18,3.596,1.8,25.36,5,2.61,0.595
20,img/rec_fig/21.png,충청북도 자치연수원 공무원교육관,4,11,9591,0.678107607,0.282,0.26,1.312,0.29,1.037,0.15,3.6,1.5,81.32,5,2.61,0.595
21,img/rec_fig/22.png,충주 성내동우체국,4,11,2863,0.71,7.245,0.26,1.312,0.29,1.037,0.15,6.6,1.5,11.76,5,2.61,0.595
22,img/rec_fig/23.png,구) 남원역사,8,11,761,0.583,3.115,0.244,1.312,0.35,3.115,0.199,3.596,1.479,37.58,5,2.61,0.272
23,img/rec_fig/24.png,전남 광양시 의회청사,9,11,6895,0.686356948,0.72,0.32,1.312,0.35,1.037,0.15,2.1,1.8,88.93,5,2.61,0.595
24,img/rec_fig/25.png,충북 음성군청 본청사,4,11,8684,0.603055556,1.6,0.24,1.312,0.29,1.037,0.15,4,1.5,40.53,5,2.61,0.595
25,img/rec_fig/26.png,진주 평거2주공아파트,12,2,22036,0.481828839,1.18,0.31,0.521,0.31,0.54,0.18,5.3,1.2,8.85,5,2.61,0.595
26,img/rec_fig/27.png,충북 중앙경찰학교 1강의동,4,7,8732,0.279,3.8,0.175,1.312,0.29,1.037,0.118,3.596,1.028,37.58,5,2.61,0.27
27,img/rec_fig/28.png,과천시민회관,2,11,41056,0.508035773,3.8,0.198,1.312,0.29,1.037,0.145,3.596,1.459,37.58,5,2.61,0.35
28,img/rec_fig/29.png,경북 구미시청 본관,11,11,8360,0.4378,0.37,0.24,1.312,0.35,1.037,0.18,3.6,1.5,44.59,5,2.61,0.595
29,img/rec_fig/30.png,부산 금정구청,14,11,14464,0.6084,3.8,0.32,1.312,0.35,1.037,0.18,4,1.8,95.85,5,2.61,0.595
30,img/rec_fig/31.png,경남 하동군청사,12,11,5330,0.4979,0.9,0.32,1.312,0.35,1.037,0.18,2.3,1.08,36.58,5,2.61,0.595
31,img/rec_fig/32.png,하남시 신장도서관,2,3,2145,0.903674706,3.8,0.17,1.312,0.29,1.037,0.17,3.596,1.27,37.58,5,2.61,0.33
32,img/rec_fig/33.png,부산 중구청,14,11,7860,0.456,1.7,0.32,1.312,0.35,1.037,0.18,4,1.8,35.62,5,2.61,0.595
33,img/rec_fig/34.png,대구 시립중앙도서관,13,7,10181,0.508,3.8,0.152,1.312,0.35,1.037,0.144,3.596,1.347,37.58,5,2.61,0.36
34,img/rec_fig/35.png,충남 청양 우체국,5,11,1569,0.625,3.8,0.149,1.312,0.29,1.037,0.17,3.596,1.27,37.58,5,2.61,0.33
35,img/rec_fig/36.png,국립농산물품질관리원 경남지원,12,11,1697,0.567735908,1.7,0.32,1.312,0.35,1.037,0.18,3.2,1.8,50.97,5,2.61,0.595
36,img/rec_fig/37.png,한국철도공사 동대구역사(다시확인),13,11,31965,0.80718599,0.55,0.32,1.312,0.35,1.037,0.18,5.3,1.8,126.85,5,2.61,0.595
37,img/rec_fig/38.png,전남 장성군 북일면 행정복지센터,9,11,722,0.719761304,0.66,0.32,1.312,0.35,1.037,0.18,3.1,1.8,20.62,5,2.61,0.595
38,img/rec_fig/39.png,강원대학교 농업생명과학대학 1호관,16,7,4222,0.87029982,3.8,0.149,1.312,0.24,1.037,0.17,3.596,1.27,37.58,5,2.61,0.33
39,img/rec_fig/40.png,서울 서초구 서운중학교,1,7,8662,0.521,3.8,0.125,1.312,0.29,1.037,0.129,3.596,1.028,37.58,5,2.61,0.27
40,img/rec_fig/41.png,서울대학교 공학관2(31동),1,7,6987,0.456,3.8,0.177,1.312,0.29,1.037,0.128,3.596,1.028,37.58,5,2.61,0.27
41,img/rec_fig/42.png,한국철도공사서울사옥(다시확인),1,11,23272.28,0.389,3.8,0.213,1.312,0.29,1.037,0.129,3.596,1.028,37.58,5,2.61,0.27
42,img/rec_fig/43.png,부산 범일2동 주민센터,14,11,400.26,0.8037,5.6,0.32,1.312,0.35,1.037,0.18,6.6,1.8,57.03,5,2.61,0.595
43,img/rec_fig/44.png,대구 침산1동 주민센터,13,11,551.48,0.6531,2.5,0.32,1.312,0.35,1.037,0.18,5.3,1.8,36.58,5,2.61,0.595
44,img/rec_fig/45.png,한국 환경산업 기술원 연수동,1,11,3514,0.6659,3.8,0.189,2.865,0.3,3.154,0.126,4,1.47,37.58,5,0.688,0.516
45,img/rec_fig/46.png,인천 의료원 장례식장,3,15,3469,0.389,0.58,0.239,0.58,0.353,0.41,0.162,3.596,2,37.58,2,0.688,0.516
46,img/rec_fig/47.png,춘천 교도소,16,16,112554,0.59,3.8,0,1.312,0.24,1.037,0.15,3.596,1.5,37.58,5,2.61,0.516
47,img/rec_fig/48.png,목포 대학교 사회 과학관,9,7,13605,0.407,2.46,0.34,0.58,0.139,0.58,0.139,3.596,1.8,37.58,5,0.76,0.4
48,img/rec_fig/49.png,정읍시 연지청사,8,11,1739,0.2906,0.52,0.18,1.96,1.96,0.56,0.18,3.6,1.4,37.58,5,0.76,0.57
49,img/rec_fig/50.png,거창 여자고등학교,12,7,9487,0.36,0.709,0.29,3.215,0.37,0.703,0.19,3.1,1.16,37.58,5,0.73,0.53
50,img/rec_fig/51.png,통영시청 제2청사,12,11,5684.6,0.242,0.328,0.02,0.97,0.35,0.5,0.18,3.159,1.771,37.58,5,2.61,0.595
51,img/rec_fig/52.png,영천시청 본관,11,11,5495.5,0.1299,0.27,0.24,1.164,0.35,0.582,0.15,1.8,1.8,37.58,5,2.61,0.595
52,img/rec_fig/53.png,경찰청사 남관,1,11,3571,0.3575,1.347,1.068,1.164,0.29,0.582,0.15,1.347,0.631,37.58,5,2.61,0.595
53,img/rec_fig/54.png,서울도봉경찰서,1,11,9099.9,0.2439,0.582,0.24,0.582,0.29,0.407,0.15,4,1.3,37.58,5,2.61,0.595
54,img/rec_fig/55.png,전라북도 농업기술원,8,7,14413.5,0.279,0.756,0.129,0.756,0.29,0.523,0.12,3.2,1.277,37.58,5,2.61,0.595
55,img/rec_fig/56.png,통영시 수산과학관,12,7,3587,0.2435,0.604,0.02,0.604,0.35,0.148,0.18,3.7,1.8,37.58,5,2.61,0.595
56,img/rec_fig/57.png,목포자연사박물관 자연사관동,9,7,6610.9,0.223,0.55,0.32,0.526,0.35,0.47,0.18,4,1.8,37.58,5,2.61,0.595
57,img/rec_fig/58.png,동학농민혁명기념관(전시관동),8,3,3945.7,0.2282,0.604,0.24,0.604,0.29,0.418,0.15,3.1,0.848,37.58,5,2.61,0.595
58,img/rec_fig/59.png,서울대학교 052(예술관(미대)3),1,7,4383.7,0.481,2.095,0.24,1.746,0.29,1.047,0.15,4,1.5,37.58,5,2.61,0.595
59,img/rec_fig/60.png,서울대학교 021(약학관1),1,7,6575.5,0.418,2.095,0.24,1.746,0.29,1.047,0.15,4,1.5,37.58,5,2.61,0.595
60,img/rec_fig/61.png,충남대학교 실내체육관,6,7,3682,0.2058,0.582,0.24,1.164,0.29,0.582,0.15,3.492,1.5,37.58,5,2.61,0.595
61,img/rec_fig/62.png,충남대학교 중앙도서관,6,7,21618,0.361,1.544,0.161,1.407,0.29,0.644,0.15,4,1.5,37.58,5,2.61,0.595
62,img/rec_fig/63.png,수정청소년수련관,2,9,7746.4,0.3434,0.582,0.24,0.582,0.29,0.407,0.15,4,1.5,37.58,5,2.61,0.595
63,img/rec_fig/64.png,동작구문화복지센터(보건소),1,6,10022,0.1027,0.582,0.24,0.582,0.29,0.407,0.15,2.9,1.374,37.58,5,2.61,0.595
64,img/rec_fig/65.png,단양 수련시설,4,9,8220.18,0.305253628,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
65,img/rec_fig/66.png,여수 하희현가 그린리모델링,9,1,18184,0.381944444,0.946,0.104,0.328,0.29,0.56,0.15,3.59,0.89,37.58,5,0.62,0.35
66,img/rec_fig/67.png,외유내강,14,1,204.82,0.347600923,0.946,0.22,0.328,0.22,0.56,0.18,3.59,1.2,37.58,5,0.62,0.35
67,img/rec_fig/68.png,부평 단독주택,3,1,146.13,0.654257329,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
68,img/rec_fig/69.png,경기도 수원시 권선구 단독주택 2층,2,1,209.43,0.328621495,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
69,img/rec_fig/70.png,EAN 테크놀로지 신사옥,1,11,2000,0.375732209,0.58,0.223,0.328,0.29,0.56,0.15,3.37,1.495,37.58,5,0.62,0.42
70,img/rec_fig/71.png,부평 단독주택,3,1,146,0.660059643,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
71,img/rec_fig/72.png,한서빌딩,1,11,2467,0.521414006,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
72,img/rec_fig/73.png,피닉스호텔,14,12,6858,0.62658129,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
73,img/rec_fig/74.png,한국외국어대학교 글로벌캠퍼스 인문경상관,2,7,6599,0.46322024,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
74,img/rec_fig/75.png,경기도 용인시 처인구 단독주택,2,1,199,0.375361146,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
75,img/rec_fig/76.png,광주 계림동 숙박시설 금수장관광호텔,10,12,3163,0.327655174,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
76,img/rec_fig/77.png,서초동 업무시설,1,11,14514,0.30881987,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
77,img/rec_fig/78.png,국도화학 공장,1,11,4826,0.271264368,0.523,0.296,0.328,0.29,0.56,0.15,4,2.1,37.58,5,0.62,0.35
78,img/rec_fig/79.png,한국외대 글로벌 캠퍼스 어문학관,2,7,13172,0.330297266,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
79,img/rec_fig/80.png,경북 영주 문수면 사무소,11,11,892,0.335910424,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
80,img/rec_fig/81.png,충북대학교 생활관(진리관),4,7,2655,0.36484375,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
81,img/rec_fig/82.png,전북 고창 동리국악당(신재효고택동리국악당),8,3,2248,0.274102079,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
82,img/rec_fig/83.png,충북 청주 시립 미술관,4,3,4546,0.408734053,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
83,img/rec_fig/84.png,서울세관 2동 청사,1,11,13346,0.31510658,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
84,img/rec_fig/85.png,경기도청 제2별관,2,11,8120,0.35162374,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
85,img/rec_fig/86.png,경북 문경시청사,11,11,10067,0.224974891,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
86,img/rec_fig/87.png,한국수자원공사 물사랑어린이집,6,8,550,0.221804511,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
87,img/rec_fig/88.png,한국건설기술연구원 (구교통연구원),2,11,8145,0.450249486,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
88,img/rec_fig/89.png,전남 무안군 농업기술센터,9,11,932,0.31026253,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
89,img/rec_fig/90.png,광주 시립 청소년 삶 디자인센터,10,6,8415,0.215554195,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
90,img/rec_fig/91.png,제주 서귀포의료원 (산후조리원),17,6,3624,0.288335518,0.946,0.41,0.328,0.47,0.56,0.25,3.59,2.2,37.58,5,0.62,0.35
91,img/rec_fig/92.png,한국도로공사 군위지사,11,11,1896,0.23677178,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
92,img/rec_fig/93.png,한국과학기술원 기계공학동,6,7,30387,0.187422629,0.946,0.289,0.328,0.29,0.56,0.15,3.59,1.4,37.58,5,0.62,0.41238
93,img/rec_fig/94.png,김포국제공항,1,11,77775,0.319028936,0.946,0.2,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
94,img/rec_fig/95.png,경기도 따복기숙사(경기도기숙사),2,2,5510,0.185434174,0.946,0.27,0.328,0.29,0.56,0.15,3.59,2.1,37.58,5,0.62,0.35
95,img/rec_fig/96.png,서울 강동구청 별관(성안별관),1,11,4705,0.738697132,0.131,0.113,0.328,0.29,0.56,0.15,1.28,0.89,37.58,5,0.62,0.35
96,img/rec_fig/97.png,대구 수성구청 별관,13,11,3100,0.2577584,0.538,0.22,0.328,0.15,0.56,0.15,4,1.4,37.58,5,0.62,0.2175
97,img/rec_fig/98.png,한국도로공사 홍천지사,16,11,1922,0.492027335,0.946,0.26,0.328,0.24,0.56,0.15,3.59,1.28,37.58,5,0.62,0.35
98,img/rec_fig/99.png,한국방송통신대학교 열린관,1,7,5808,0.529207634,0.946,0.213,0.328,0.29,0.56,0.15,3.59,1.289,37.58,5,0.62,0.35
99,img/rec_fig/100.png,한국교통대학교 건축관,4,7,2666,0.513837638,0.946,0.21,0.328,0.29,0.56,0.15,3.59,1.7,37.58,5,0.62,0.35
100,img/rec_fig/101.png,대구시 대명동 상가주택,13,1,6820.330732,0.488089301,2.6529,0.2948,0.328,0.35,0.56,0.18,5.3,3.1,37.58,5,0.62,0.35
101,img/rec_fig/102.png,경기도 안양시 ARK,2,1,204,0.442626687,0.946,0.219,0.328,0.29,0.56,0.15,3.59,0.933,37.58,0.63,0.62,0.35
102,img/rec_fig/103.png,DPR Construction Phoenix Regional Office(NZEB),23,11,1519.43,0.99,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
103,img/rec_fig/104.png,The George D. Aiken Center at the University of Vermont,25,7,3716.12,0.63,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
104,img/rec_fig/105.png,5Pev,56,2,84.08,0.69,0.946,0.44,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
